Year,Active,Client ID,First Name,Last Name,Gender,Date of Birth,City,Indigenous,PWD,Vet,Emergency Sheltered,Bus Pass,Clothing Supplement,Pet Deposit,PSSG,Status,Deceased
2015,Y,42842812,Luke,Parquis,Male,29-Sep-83,Burnaby,N,N,N,N,N,N,N,N,,
2009,Y,53209946,Jacob,Bouchard,Male,09-Aug-69,Cranbrook,N,N,N,Y,N,N,Y,N,,
2007,Y,41802370,Jacob,Beaaudry,Male,26-Jan-76,Kelowna,N,N,N,N,N,N,N,N,,
2022,Y,82361292,Amelia,Decker,Female,05-Oct-78,Duncan,Y,N,N,N,N,N,N,N,,
2017,Y,18530494,Aiden,Hickins,Male,13-May-65,Courtenay,Y,N,N,Y,N,N,Y,N,,
2002,Y,77395077,Logan,Lopez,Male,02-Aug-68,Parksville,N,N,N,N,N,N,N,N,,
2008,Y,88689016,Gabe,Perry,Male,20-Aug-52,Fort St. John,N,N,N,N,N,N,N,N,,
2009,Y,83781413,Layla,White,Female,24-Feb-62,White Rock,N,N,N,Y,N,N,N,N,,
2008,Y,97100143,Dan,Bergeron,Male,20-Jan-95,Prince Rupert,Y,N,Y,Y,N,N,Y,N,,
2009,Y,98059013,Sam,Morrison,Male,08-Apr-04,Trail,N,N,N,N,N,N,N,N,,
2005,Y,35739934,Clara,Parquis,Female,15-Dec-92,Prince George,N,N,Y,N,N,N,N,N,,
2015,Y,41600337,Julian,Viswam,Male,13-Dec-49,Greenwood,Y,N,N,Y,Y,N,Y,N,,
2016,Y,69817249,Abigail,McCloud,Female,11-Dec-95,Terrace,N,N,N,Y,N,N,N,N,,
2021,Y,98426071,Dan,Miyazato,Male,06-Jul-94,Revelstoke,N,N,N,N,N,N,N,N,,
2001,Y,19006638,Grace,Johnson,Female,10-Jan-55,Enderby,Y,N,N,Y,N,N,Y,N,,
2014,Y,64845586,Julian,Halll,Male,18-Oct-92,Courtenay,N,N,N,Y,N,N,Y,N,,
2018,Y,30339579,Brooklyn,Robb,Female,05-May-90,Revelstoke,Y,N,N,Y,N,N,N,N,,
2003,Y,96749043,Leah,Ganot,Female,26-Sep-59,White Rock,Y,N,N,N,N,N,N,N,,
2010,Y,22375571,William,Lapointe,Male,06-Aug-03,Surrey,Y,N,N,N,N,N,N,N,,
2008,Y,59093950,Audrey,Powell,Female,30-Dec-89,Courtenay,Y,N,N,N,N,N,N,N,,
2015,N,13914610,Sam,Forland,Male,26-Jul-79,Trail,N,N,N,N,N,N,N,Y,,
2021,Y,42820005,Alex,Hernandez,Male,12-Nov-64,Prince Rupert,Y,N,N,Y,N,N,Y,N,,
2012,Y,43026261,Henry,Meyers,Male,31-Jan-88,Surrey,N,N,N,Y,N,N,Y,N,,
2004,Y,15853956,Allison,Jepp,Female,06-Jun-56,Surrey,N,N,N,Y,N,N,N,N,,
2008,Y,96243447,Ethan,Graham,Male,24-May-76,Port Coquitlam,Y,N,N,Y,N,N,N,N,,
2022,Y,70618651,Leo,Ross,Male,30-Oct-00,Grand Forks,Y,N,N,N,N,N,N,N,,
2019,N,52143789,Liam,Siermachesky,Male,08-Oct-82,Maple Ridge,Y,N,N,N,N,N,N,N,,
2007,Y,64404237,Rebecca,Lemelin,Female,30-Oct-65,Armstrong,N,N,N,N,N,N,N,N,,
2001,Y,46476014,Aaron,Li,Male,07-Jul-96,Vancouver,N,N,N,N,N,N,N,N,,
2017,Y,89825759,Matt,Amyot,Male,27-Feb-71,Port Coquitlam,Y,N,N,Y,N,N,Y,N,,
2000,Y,38336269,Matt,Diaz,Male,23-Jan-57,Trail,N,N,N,N,N,N,N,N,,
2000,Y,44268714,Rebecca,Poirier,Female,05-Nov-60,Langford,Y,N,N,N,N,N,N,N,,
2018,Y,49546577,Aubrey,Amyot,Female,31-May-79,White Rock,N,N,Y,N,N,N,N,N,,
2002,Y,94804343,Andrew,Claus,Male,22-Jun-57,Victoria,Y,N,N,Y,N,N,N,N,,
2002,Y,17628869,Gabe,Edwards,Male,15-Jun-81,Prince Rupert,Y,N,N,N,N,N,N,N,,
2019,Y,39677223,Aubrey,Ouellet,Female,12-Jul-01,Campbell River,Y,N,N,N,N,N,N,N,,
2013,Y,56162236,Audrey,Brown,Female,10-Nov-96,Maple Ridge,N,N,N,N,N,N,N,N,,
2004,Y,49510827,Grace,Ferguson,Female,29-Sep-66,Kamloops,N,N,N,N,N,N,N,N,,
2009,Y,14909852,William,Fraser,Male,29-Mar-49,Prince George,Y,N,N,Y,N,N,Y,N,,
2013,Y,41007005,Emily,Perry,Female,30-Oct-66,Greenwood,Y,N,N,N,N,N,N,N,,
2010,Y,25353875,Gabe,Grant,Male,03-May-02,White Rock,Y,N,Y,N,N,N,N,N,,
2006,Y,17579373,Logan,Coleman,Male,19-Sep-89,Port Moody,Y,N,N,Y,N,N,Y,N,,
2013,N,45103585,Lucas,Chechock,Male,02-Sep-90,Richmond,N,N,N,N,N,N,N,Y,,
2007,Y,50702459,Leah,Green,Female,15-Jul-82,Cranbrook,Y,N,N,N,N,N,N,N,,
2000,Y,34328908,Henry,Forland,Male,28-Dec-50,Quesnel,N,N,N,Y,N,N,Y,N,,
2002,Y,43977930,Nolan,Roberts,Male,23-Jun-67,North Vancouver,Y,N,N,N,N,N,N,N,,
2019,Y,60760458,Elizabeth,Blondin,Female,12-Apr-88,Campbell River,N,N,N,N,N,N,N,N,,
2003,Y,45315596,Charles,Hughes,Male,21-Sep-74,Rossland,Y,N,N,Y,N,N,Y,N,,
2019,Y,93597197,Oliver,Nastic,Male,28-Jan-67,Coquitlam,N,N,N,N,N,N,N,N,,
2018,Y,53621291,Jack,Ross,Male,24-Sep-63,Colwood,Y,N,N,Y,Y,N,Y,N,,
2022,Y,51762515,Madison,Butry,Female,27-Oct-76,Merritt,Y,N,N,Y,N,N,Y,N,,
2003,Y,48502950,Andrew,Leblanc,Male,18-Jul-87,Delta,N,N,N,N,N,N,N,N,,
2009,Y,28708977,Samantha,Herron,Female,31-May-56,Pitt Meadows,Y,N,N,Y,N,N,Y,N,,
2005,Y,94709710,Matt,Anderson,Male,18-Oct-93,Richmond,N,N,N,Y,N,N,N,N,,
2017,Y,65445551,Jacob,Campbell,Male,23-Jan-66,Grand Forks,N,N,N,N,N,N,N,N,,
2005,Y,23778077,Sophia,King,Female,22-Dec-85,Enderby,Y,N,N,Y,N,N,Y,N,,
2013,Y,18830197,Naomi,Sanchez,Female,28-Nov-58,Quesnel,Y,N,N,N,Y,N,N,N,,
2018,Y,26172623,Aaron,Allen,Male,21-Oct-78,New Westminster,N,N,N,N,N,N,N,N,,
2010,Y,63524217,Lillian,Wong,Female,30-Oct-53,Castlegar,Y,N,N,Y,N,N,Y,N,,
2014,Y,86140076,Sophia,Alary,Female,01-Jun-71,Pitt Meadows,Y,N,N,N,N,N,N,N,,
2019,Y,17386526,Aiden,Meadows,Male,26-May-01,Port Alberni,Y,N,N,Y,N,N,Y,N,,
2007,Y,33697790,Maria,Yanick,Female,20-Aug-76,Nanaimo,N,N,N,Y,N,N,N,N,,
2002,Y,26163269,Asher,Wilson,Male,12-Apr-77,Maple Ridge,N,N,N,Y,N,N,Y,N,,
2022,Y,16974877,Audrey,Cox,Female,08-Jul-79,Fort St. John,N,N,N,Y,N,N,Y,N,,
2014,Y,91685764,Jack,Turner,Male,03-Sep-68,Port Coquitlam,N,N,N,N,N,N,N,N,,
2002,Y,40462369,Henry,Morin,Male,01-Apr-89,Armstrong,Y,N,N,N,N,N,N,N,,
2022,Y,37945282,Ben,Nelson,Male,12-Mar-60,Pitt Meadows,Y,N,N,Y,Y,N,N,N,,
2003,Y,42366418,Emily,McKinney,Female,12-Jul-50,Chilliwack,Y,N,N,N,N,N,N,N,,
2000,N,42707171,Asher,McCloud,Male,27-May-53,North Vancouver,Y,N,N,N,N,N,N,Y,,
2014,N,91187581,Luke,Munroe,Male,26-Jun-77,Langley,Y,N,N,N,N,N,N,Y,,
2014,N,42984412,Joe,Bush,Male,27-Sep-70,Salmon Arm,N,N,N,N,N,N,N,N,Waitlisted,13-Nov-14
2019,Y,64377683,Adrian,Murphy,Male,05-Mar-59,Enderby,Y,N,Y,Y,N,N,Y,N,,
2022,Y,78708055,Sophia,Gill,Female,25-Oct-93,Revelstoke,N,N,N,Y,N,N,Y,N,,
2020,Y,69871252,Mason,Ford,Male,18-May-73,Prince George,Y,N,N,Y,N,N,Y,N,,
2001,Y,91377502,Alex,Anderson,Male,09-May-55,Surrey,N,N,Y,N,Y,N,N,N,,
2021,N,98771587,Asher,Washington,Male,11-May-76,Burnaby,N,N,N,N,N,N,N,N,,
2006,Y,25690289,Asher,Hamilton,Male,20-Feb-04,Dawson Creek,Y,N,N,Y,N,N,Y,N,,
2002,Y,50302986,Lincoln,Nicholas,Male,25-May-83,Salmon Arm,N,N,N,Y,N,N,N,N,,
2017,Y,75627264,Ethan,Barnes,Male,30-May-92,Kimberley,N,N,N,N,N,N,N,N,,
2011,N,25212425,John,Torres,Male,03-Jan-50,Richmond,N,N,N,N,N,N,N,N,Waitlisted,
2003,Y,25285126,Rebecca,Hernandez,Female,28-Nov-82,Abbotsford,N,N,N,N,N,N,N,N,,
2006,Y,76347684,Joe,Butry,Male,03-Jul-88,Port Moody,Y,N,N,N,N,N,N,N,,
2012,N,33339758,Alex,Gill,Male,06-Apr-69,Powell River,N,N,N,N,N,N,N,N,Waitlisted,
2020,Y,45191518,William,Walker,Male,22-Jul-94,Trail,Y,N,N,Y,N,N,Y,N,,
2005,Y,34735175,David,Chen,Male,13-Aug-49,Parksville,N,N,N,Y,N,N,Y,N,,
2018,Y,84492577,Audrey,Leblanc,Female,27-Dec-94,Pitt Meadows,Y,N,N,N,N,N,N,N,,
2018,Y,13108285,Lillian,Perry,Female,09-May-53,Grand Forks,N,N,N,N,N,N,N,N,,
2009,Y,19954229,Raelynn,Gagnon,Female,10-Aug-87,Duncan,N,N,N,N,N,N,N,N,,
2016,Y,18115121,Sophie,Harris,Female,25-Jun-88,Cranbrook,Y,N,N,N,N,N,N,N,,
2000,Y,65534519,Madison,Perez,Female,21-Jun-72,West Kelowna,Y,N,N,N,N,N,N,N,,
2013,N,78031088,Maria,Gonzalez,Female,21-Jul-60,Revelstoke,Y,N,N,N,N,N,N,Y,,
2016,Y,46849290,Ethan,Hayes,Male,05-Apr-96,Armstrong,Y,N,N,Y,N,N,Y,N,,
2018,Y,85627057,Hailey,Hayes,Female,27-Jul-56,Powell River,Y,N,N,Y,N,N,N,N,,
2008,Y,61437940,Jack,Mutadi,Male,21-Nov-77,Maple Ridge,Y,N,N,Y,N,N,N,N,,
2004,Y,72116015,Raelynn,Thomas,Female,26-Apr-59,Greenwood,Y,N,N,Y,Y,N,N,N,,
2014,Y,45774483,Elijah,Tremblay,Male,26-Apr-70,Nelson,N,N,N,Y,N,N,Y,N,,
2020,N,34372374,Aubrey,Tremblay,Female,11-Aug-79,Trail,Y,N,N,N,N,N,N,N,,
2000,Y,39637883,Michael,Amyot,Male,01-Apr-85,Dawson Creek,N,N,N,Y,N,N,Y,N,,
2020,Y,50254131,Emily,Chan,Female,02-Feb-00,Greenwood,Y,N,N,N,N,N,N,N,,
2010,Y,29698319,Madelyn,Girard,Female,30-Nov-65,Williams Lake,N,N,Y,Y,N,N,Y,N,,
2021,Y,54377554,Stella,Yoshida,Female,30-Sep-67,Colwood,N,N,N,N,N,N,N,N,,
2015,Y,14931939,Grace,Graay,Female,02-Oct-54,Greenwood,Y,N,N,Y,Y,N,N,N,,
2021,Y,29864899,Emily,Morrison,Female,02-Jan-97,Coquitlam,N,N,N,N,N,N,N,N,,
2010,Y,45518786,Aubrey,Perez,Female,27-Oct-65,Salmon Arm,Y,N,N,Y,N,N,Y,N,,
2002,Y,14798183,Alex,Zhang,Male,05-Oct-98,Castlegar,N,N,N,Y,N,N,Y,N,,
2008,Y,31884064,Sadie,Basque,Female,22-Mar-85,Enderby,N,N,N,Y,N,N,Y,N,,
2007,Y,55639107,Abigail,Kingfisher,Female,17-Jan-65,Victoria,Y,N,N,N,N,N,N,N,,
2011,Y,71033017,Maria,Bertrand,Female,02-Mar-50,Port Moody,Y,N,N,Y,N,N,Y,N,,
2015,Y,41756856,Maria,Eaton,Female,07-Mar-66,Chilliwack,Y,N,N,Y,N,N,N,N,,
2017,Y,38382549,Hudson,Scott,Male,05-Sep-69,Chilliwack,Y,N,N,N,N,N,N,N,,
2011,Y,51667726,Nolan,Cox,Male,29-Oct-53,Duncan,N,N,N,Y,N,N,Y,N,,
2009,Y,35938376,Sophia,Obediah,Female,11-Jun-60,Campbell River,N,N,N,N,N,N,N,N,,
2015,Y,71133978,Aaron,Powell,Male,13-Mar-56,Kamloops,Y,N,N,Y,N,N,N,N,,
2017,Y,68606438,Dan,Lentz,Male,12-Jan-77,Greenwood,N,N,N,N,N,N,N,N,,
2022,Y,95791668,Hannah,Lemelin,Female,12-Apr-58,Campbell River,N,N,N,Y,N,N,N,N,,
2009,Y,44322878,Dan,Jackson,Male,17-Jun-99,Vancouver,N,N,N,Y,N,N,Y,N,,
2021,Y,61625015,Layla,Lee,Female,31-Oct-96,Powell River,Y,N,N,N,N,N,N,N,,
2022,Y,33213273,Rebecca,Howard,Female,22-Feb-92,Vernon,N,N,N,Y,N,N,Y,N,,
2022,Y,77719505,Dan,Martinez,Male,12-Aug-69,Enderby,N,N,Y,Y,N,N,Y,N,,
2020,Y,57401162,Kaitlyn,Jepp,Female,27-Oct-97,Chilliwack,Y,N,N,Y,N,N,Y,N,,
2013,Y,89554556,Luke,Martin,Male,13-Oct-80,Prince George,N,N,N,Y,N,N,Y,N,,
2007,Y,23655344,Leo,Clark,Male,30-Dec-90,Prince Rupert,Y,N,N,N,N,N,N,N,,
2012,N,78240398,Sadie,Bellerose,Female,16-Jan-56,Williams Lake,Y,N,N,N,N,N,N,Y,,
2020,Y,39190061,Andrew,Perez,Male,12-Apr-50,Vernon,Y,N,N,Y,Y,N,N,N,,
2014,Y,61043549,Henry,Morgan,Male,26-Dec-60,Powell River,Y,N,Y,N,N,N,N,N,,
2020,Y,29822202,Matt,Reed,Male,18-Jul-85,Kamloops,N,N,N,Y,N,N,N,N,,
2018,Y,92315033,Michael,Dallas,Male,27-Oct-04,Powell River,Y,N,N,N,N,N,N,N,,
2018,Y,89035153,Ian,Washington,Male,25-Jul-04,Burnaby,N,Y,N,N,N,N,N,N,,
2013,Y,43677591,Elizabeth,Kingfisher,Female,07-Sep-75,Pitt Meadows,Y,N,N,N,N,N,N,N,,
2020,N,90555373,Aiden,Obediah,Male,22-Jun-91,Vancouver,N,N,N,N,N,N,N,Y,,
2006,Y,86618980,Brooklyn,Viswam,Female,17-Feb-58,Richmond,N,N,N,Y,Y,N,Y,N,,
2008,Y,43188218,Josephine,Nguyen,Female,24-Jul-57,Quesnel,Y,N,N,Y,N,N,Y,N,,
2007,N,96037969,Aaron,Mustafa,Male,25-Apr-00,North Vancouver,N,N,N,N,N,N,N,N,,13-Jan-19
2016,Y,98963133,Josephine,Moore,Female,06-May-60,Grand Forks,N,N,N,Y,Y,N,Y,N,,
2022,Y,94147804,Josephine,Richardson,Female,24-Jul-93,Salmon Arm,N,N,Y,Y,N,N,N,N,,
2019,Y,27885345,Lucy,Graay,Female,06-Jun-86,Chilliwack,N,N,N,Y,N,N,Y,N,,
2006,Y,54580161,Rose,Richardson,Female,04-Aug-49,Penticton,Y,N,N,N,N,N,N,N,,
2009,Y,41717739,Tom,Alexander,Male,07-Jun-58,Maple Ridge,N,N,N,Y,N,N,N,N,,
2007,Y,40522296,Rose,Cox,Female,30-Sep-61,Merritt,N,N,N,Y,N,N,Y,N,,
2012,Y,63802391,Chloe,Perez,Female,13-Dec-96,Pitt Meadows,Y,N,N,N,N,N,N,N,,
2017,Y,18492490,Adrian,Fraser,Male,08-Apr-87,Parksville,N,N,N,N,N,N,N,N,,
2007,Y,51587727,Savannah,Gonzales,Female,06-Jul-87,Abbotsford,Y,N,N,N,N,N,N,N,,
2010,Y,41194881,Dan,Benedict,Male,09-May-52,New Westminster,N,N,N,N,N,N,N,N,,
2020,Y,65910956,Wyatt,Cote,Male,13-Feb-66,Campbell River,Y,N,Y,Y,N,N,N,N,,
2017,Y,51454886,Tom,Evans,Male,05-Aug-83,Grand Forks,Y,N,N,Y,N,N,Y,N,,
2001,Y,81238720,Noah,Anglin,Male,20-Jan-85,Kamloops,Y,N,N,N,N,N,N,N,,
2011,Y,43993728,Sam,Wilson,Male,21-Jul-56,Courtenay,Y,N,Y,N,N,N,N,N,,
2003,Y,84367958,Emily,Forland,Female,13-Oct-52,Revelstoke,Y,N,N,Y,N,N,Y,N,,
2001,Y,79649980,Sadie,Landry,Female,09-Nov-82,Revelstoke,Y,N,N,Y,N,N,Y,N,,
2014,Y,19502881,Cam,Green,Male,31-Oct-92,Campbell River,N,N,N,N,N,N,N,N,,
2011,Y,66633710,Mason,Wen,Male,05-Apr-90,Vernon,N,N,N,Y,N,N,N,N,,
2019,N,72786649,Cam,Patterson,Male,08-Nov-82,Kimberley,Y,N,N,N,N,N,N,Y,,
2017,Y,35525156,Aaron,Moore,Male,04-May-52,Parksville,N,N,N,Y,N,N,Y,N,,
2004,Y,62813624,Nolan,Coleman,Male,11-Jul-70,Delta,Y,N,N,N,N,N,N,N,,
2003,Y,25322262,William,McDonald,Male,19-Jul-99,Langford,Y,N,Y,N,N,N,N,N,,
2011,Y,64333003,Amelia,Sanders,Female,08-Jun-70,Port Alberni,N,N,N,N,N,N,N,N,,
2022,Y,42919479,Logan,Jenkins,Male,19-Jun-96,Nelson,N,N,N,Y,N,N,Y,N,,
2015,Y,21690928,Alex,Chan,Male,03-May-73,Williams Lake,N,N,N,Y,N,N,N,N,,
2010,Y,33910131,Noah,Ward,Male,04-Apr-74,Salmon Arm,N,N,N,Y,N,N,N,N,,
2012,Y,77656634,Amelia,Alary,Female,15-May-01,Trail,Y,N,N,N,N,N,N,N,,
2002,N,15687839,Victoria,Scott,Female,06-Mar-79,Port Moody,Y,N,N,N,N,N,N,Y,,
2004,Y,14072919,Kaitlyn,Scharien,Female,28-Nov-98,Cranbrook,Y,N,N,Y,N,N,Y,N,,
2010,Y,92356595,Chloe,Girard,Female,23-May-64,Colwood,Y,N,N,Y,N,N,Y,N,,
2012,Y,56773098,Riley,Fraser,Female,08-Oct-64,Williams Lake,Y,N,N,Y,N,N,Y,N,,
2010,Y,89473897,Clara,Nastic,Female,01-Nov-04,Vancouver,Y,N,N,Y,N,N,Y,N,,
2019,Y,13857536,Michael,Ouellet,Male,27-Oct-77,Williams Lake,Y,N,N,Y,N,N,Y,N,,
2019,Y,64675355,Madelyn,Jacob,Female,24-Jan-60,Burnaby,Y,N,N,N,N,N,N,N,,
2016,Y,76127562,Cam,Sanchez,Male,02-Aug-59,Trail,N,N,N,N,N,N,N,N,,
2001,Y,98207639,Asher,Bellerose,Male,12-Jul-77,Victoria,Y,N,N,N,N,N,N,N,,
2009,Y,85221369,Emilia,Smith,Female,17-Dec-84,Campbell River,Y,N,N,N,N,N,N,N,,
2002,Y,40767605,Hudson,Cooper,Male,13-Sep-49,Fort St. John,N,N,N,Y,N,N,N,N,,
2007,Y,62686528,Layla,Nadeau,Female,15-Dec-54,Terrace,N,N,N,Y,Y,N,N,N,,
2001,Y,36182918,Joe,Jordan,Male,20-Jul-05,Maple Ridge,N,N,N,Y,N,N,Y,N,,
2005,Y,57278104,Kaitlyn,Forland,Female,29-Dec-97,Enderby,Y,N,N,Y,N,N,N,N,,
2002,Y,19753632,Sophie,Nastic,Female,17-May-86,Kamloops,N,N,N,Y,N,N,N,N,,
2020,Y,61966230,Hailey,Collins,Female,04-Jan-94,West Kelowna,Y,N,N,Y,N,N,N,N,,
2013,Y,44373222,Nolan,Rivera,Male,28-Jun-49,Maple Ridge,Y,N,N,Y,Y,N,Y,N,,
2014,Y,15569496,Avery,Bertrand,Female,07-Sep-59,Burnaby,Y,N,N,N,N,N,N,N,,
2002,Y,12995885,Allison,Foster,Female,23-Dec-74,Langley,N,N,Y,N,N,N,N,N,,
2010,Y,14750231,Riley,Griffin,Female,22-Feb-90,Port Coquitlam,N,N,N,N,N,N,N,N,,
2004,Y,18368335,Hannah,Harris,Female,01-Feb-97,Rossland,N,N,N,N,N,N,N,N,,
2007,Y,84650331,David,Decker,Male,09-Jul-97,Pitt Meadows,Y,N,N,Y,N,N,N,N,,
2017,Y,23067477,Elijah,Smith,Male,24-Aug-84,Maple Ridge,N,N,N,N,N,N,N,N,,
2016,Y,82964088,Scarlett,Herron,Female,13-May-80,Pitt Meadows,N,N,N,Y,N,N,N,N,,
2016,Y,15779359,Clara,Danford,Female,30-Sep-03,Langford,Y,N,N,N,N,N,N,N,,
2012,Y,93530802,Ian,Turner,Male,13-Nov-85,North Vancouver,N,N,N,N,N,N,N,N,,
2018,Y,53069674,David,Nguyen,Male,19-Feb-62,Cranbrook,N,N,N,N,N,N,N,N,,
2016,Y,87481401,Claire,Leblanc,Female,23-Aug-76,Burnaby,Y,N,N,Y,N,N,Y,N,,
2003,N,53207123,Aaron,Fraser,Male,08-Aug-66,Penticton,N,N,N,N,N,N,N,Y,,
2022,Y,79977110,Mason,Meadows,Male,06-Sep-62,Langford,Y,N,Y,Y,N,N,Y,N,,
2017,Y,67901728,Scarlett,McNeill,Female,06-Dec-68,New Westminster,Y,N,N,Y,N,N,Y,N,,
2013,Y,56362382,Sarah,Nadeau,Female,25-Aug-74,Armstrong,N,N,N,N,N,N,N,N,,
2013,Y,88060748,Logan,Jordan,Male,09-Jul-53,Trail,Y,N,N,Y,N,N,Y,N,,
2004,Y,29677335,Lucas,Sun,Male,22-Nov-66,Pitt Meadows,Y,N,N,Y,N,N,Y,N,,
2011,Y,88430247,Jade,Watson,Female,18-Jun-80,New Westminster,N,N,N,N,N,N,N,N,,
2001,Y,99916847,Matt,Bertrand,Male,13-Jun-55,Castlegar,Y,N,N,N,N,N,N,N,,
2003,Y,52541602,Jack,Born,Male,06-Apr-03,Fernie,N,N,N,N,N,N,N,N,,
2022,Y,61947654,Evelyn,Nicholas,Female,29-Feb-04,Kamloops,N,N,N,Y,N,N,N,N,,
2003,Y,33495723,Charlotte,Fortin,Female,23-Oct-68,West Kelowna,N,N,N,Y,N,N,Y,N,,
2004,Y,94836572,Hailey,Parkhurst,Female,31-Dec-53,Revelstoke,Y,N,N,N,Y,N,N,N,,
2019,Y,90558827,Maria,Hughes,Female,17-Mar-91,Port Moody,Y,N,N,Y,N,N,Y,N,,
2020,Y,42365149,David,Wright,Male,23-Mar-86,West Kelowna,Y,N,N,N,N,N,N,N,,
2006,Y,29970280,Alex,Lapointe,Male,19-Nov-84,Pitt Meadows,Y,N,N,N,N,N,N,N,,
2015,Y,73335283,Jade,Levesque,Female,29-Apr-52,Cranbrook,Y,N,N,Y,N,N,Y,N,,
2000,Y,77790937,Joe,Ganot,Male,11-Dec-99,Dawson Creek,Y,N,N,Y,N,N,N,N,,
2015,Y,48551170,Henry,Hebert,Male,24-Apr-50,North Vancouver,Y,N,N,Y,N,N,Y,N,,
2000,Y,70595321,Abigail,Robinson,Female,11-Jul-96,Grand Forks,Y,N,N,N,N,N,N,N,,
2001,Y,38202420,Victoria,Taylor,Female,21-Dec-60,Greenwood,Y,N,N,Y,N,N,Y,N,,
2005,Y,60378738,Claire,Flores,Female,23-Dec-64,Trail,Y,N,N,Y,N,N,Y,N,,
2020,Y,32390377,Aiden,Lee,Male,29-May-98,Penticton,Y,N,N,Y,N,N,Y,N,,
2015,Y,70678359,Jack,Wright,Male,12-Jan-97,White Rock,N,N,N,N,N,N,N,N,,
2011,Y,26015735,Emma,Austin,Female,18-Dec-72,Richmond,N,N,Y,N,N,N,N,N,,
2017,Y,69707570,Tom,Viswam,Male,10-Oct-78,Langley,N,N,N,Y,N,N,Y,N,,
2022,Y,24897799,Sarah,Lewis,Female,07-Dec-55,Richmond,Y,N,N,Y,N,N,N,N,,
2015,Y,24376260,Isabell,Wessels,Female,14-Oct-94,Revelstoke,Y,N,N,N,N,N,N,N,,
2007,Y,14194898,Hailey,Jacob,Female,26-Jul-49,West Kelowna,N,N,N,Y,N,N,Y,N,,
2005,Y,76389764,Andrew,Long,Male,15-Aug-65,White Rock,N,N,N,N,N,N,N,N,,
2017,N,94738674,Michael,Miller,Male,03-Jan-95,Courtenay,N,N,N,N,N,N,N,N,,13-May-17
2011,Y,27269948,Theo,Colwell,Male,03-Oct-88,Kimberley,N,N,N,Y,N,N,Y,N,,
2005,Y,60968694,Leah,Sanchez,Female,01-Mar-53,Langley,Y,N,N,Y,N,N,N,N,,
2009,Y,53727562,Dan,Pardalis,Male,03-Oct-79,North Vancouver,Y,N,N,N,N,N,N,N,,
2004,Y,90304905,Emilia,Simmons,Female,19-Jun-93,Victoria,Y,N,N,Y,N,N,Y,N,,
2009,Y,30199517,Leo,Gonzales,Male,03-Jun-90,Abbotsford,N,N,N,N,N,N,N,N,,
2020,Y,90567795,Gabe,Blondin,Male,16-Jun-58,Quesnel,Y,N,Y,Y,N,N,Y,N,,
2006,Y,89904755,Sofia,Parker,Female,03-Oct-83,Powell River,Y,N,N,Y,N,N,Y,N,,
2021,N,41796361,Aiden,Beaaudry,Male,05-Jan-96,Duncan,Y,N,N,N,N,N,N,N,,
2017,Y,60405752,Lincoln,Anglin,Male,13-Aug-83,Merritt,Y,N,N,N,N,N,N,N,,
2018,Y,45657343,Charles,Alary,Male,18-Jan-94,Enderby,Y,N,N,N,N,N,N,N,,
2021,Y,54614635,Wyatt,Baptiste,Male,19-Dec-88,Nelson,N,N,N,N,N,N,N,N,,
2018,Y,35845039,Mason,Hickins,Male,22-Aug-95,Campbell River,Y,N,N,Y,N,N,N,N,,
2009,Y,54379543,Hailey,Patton,Female,19-Apr-90,Vancouver,Y,N,N,Y,N,N,N,N,,
2022,Y,56978290,Rebecca,Connors,Female,10-Aug-03,Duncan,N,N,N,N,N,N,N,N,,
2012,Y,28194574,Adrian,Flanders,Male,07-Feb-00,New Westminster,Y,N,N,N,N,N,N,N,,
2016,Y,34055025,Sofia,Lee,Female,13-Jul-54,Prince Rupert,Y,N,N,Y,Y,N,Y,N,,
2006,Y,24881357,Zoe,Jenkins,Female,27-Nov-51,Trail,N,N,N,N,N,N,N,N,,
2007,Y,97861745,James,Zacher,Male,24-Apr-59,Surrey,N,N,N,N,Y,N,N,N,,
2012,Y,38173973,Ian,Yoshida,Male,20-Dec-80,Port Alberni,N,N,N,Y,N,N,N,N,,
2001,Y,88249447,Aiden,Hayes,Male,11-Dec-02,Mission,N,N,N,N,N,N,N,N,,
2009,Y,18890206,Cam,Jacob,Male,18-Apr-71,West Kelowna,Y,N,Y,Y,N,N,N,N,,
2014,Y,13800412,Aiden,Chow,Male,15-Apr-99,Greenwood,Y,N,N,Y,N,N,Y,N,,
2007,Y,23823654,Natalie,Young,Female,26-Mar-86,Williams Lake,Y,N,N,Y,N,N,Y,N,,
2022,Y,31195160,Leo,Donahoe,Male,24-Dec-05,Burnaby,Y,N,N,N,N,N,N,N,,
2003,Y,72817231,Layla,Levesque,Female,05-Oct-53,Cranbrook,Y,N,N,N,Y,N,N,N,,
2022,Y,64118205,Alice,Campbell,Female,29-Oct-49,Mission,Y,N,N,Y,N,N,Y,N,,
2015,Y,73771741,Luke,Martin,Male,13-Jan-93,Nanaimo,Y,N,N,Y,N,N,N,N,,
2015,Y,84645009,Chris,Thompson,Male,15-Feb-79,Surrey,Y,N,N,N,N,N,N,N,,
2017,Y,71242354,Henry,Gill,Male,26-May-70,Armstrong,N,N,N,Y,N,N,Y,N,,
2004,Y,86579583,Lucas,Miyazato,Male,30-Nov-51,Delta,Y,N,N,Y,N,N,N,N,,
